qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
47789;trec8;IDX_DR_SANSLEN;0;1000;2;1000;258970;258928;77785;0;0;0;259581
47808;trec8;IDX_DR_SANSLEN;0;1000;3;1000;137164;137138;40292;0;0;0;137635
47983;trec8;IDX_DR_SANSLEN;0;1000;2;1000;354658;354629;113060;0;0;0;355312
48000;trec8;IDX_DR_SANSLEN;0;1000;4;1000;114068;113975;34352;0;0;0;114712
48010;trec8;IDX_DR_SANSLEN;0;1000;2;1000;184551;184523;53662;0;0;0;185020
48014;trec8;IDX_DR_SANSLEN;0;1000;2;1000;225833;225807;69597;0;0;0;226310
48022;trec8;IDX_DR_SANSLEN;0;1000;3;1000;266425;266374;95025;0;0;0;266991
48051;trec8;IDX_DR_SANSLEN;0;1000;3;1000;174795;174762;52343;0;0;0;175328
48074;trec8;IDX_DR_SANSLEN;0;1000;4;1000;303143;303094;81082;0;0;0;303852
48082;trec8;IDX_DR_SANSLEN;0;1000;1;1000;191785;191757;61656;0;0;0;192287
48091;trec8;IDX_DR_SANSLEN;0;1000;0;0;28;5;1;0;0;0;275
48144;trec8;IDX_DR_SANSLEN;0;1000;2;1000;938010;937995;310679;0;0;0;938435
48145;trec8;IDX_DR_SANSLEN;0;1000;4;1000;172062;172004;50488;0;0;0;172832
48161;trec8;IDX_DR_SANSLEN;0;1000;3;1000;80392;80359;24274;0;0;0;80905
48211;trec8;IDX_DR_SANSLEN;0;1000;3;1000;254388;254356;74897;0;0;0;254829
48236;trec8;IDX_DR_SANSLEN;0;1000;2;1000;81226;81196;24699;0;0;0;81724
48396;trec8;IDX_DR_SANSLEN;0;1000;3;1000;173042;172999;51404;0;0;0;173727
48429;trec8;IDX_DR_SANSLEN;0;1000;0;0;67;10;1;0;0;0;508
48521;trec8;IDX_DR_SANSLEN;0;1000;4;1000;126552;126503;41046;0;0;0;127059
48543;trec8;IDX_DR_SANSLEN;0;1000;1;94;4224;4185;1189;0;0;0;4639
48609;trec8;IDX_DR_SANSLEN;0;1000;1;30;1554;1537;441;0;0;0;2004
48630;trec8;IDX_DR_SANSLEN;0;1000;5;1000;299873;299840;74913;0;0;0;300352
48667;trec8;IDX_DR_SANSLEN;0;1000;3;1000;128977;128942;40394;0;0;0;129481
48736;trec8;IDX_DR_SANSLEN;0;1000;4;1000;618784;618735;172781;0;0;0;619497
48870;trec8;IDX_DR_SANSLEN;0;1000;6;1000;530819;530786;121619;0;0;0;532173
49167;trec8;IDX_DR_SANSLEN;0;1000;2;1000;519648;519619;170351;0;0;0;520154
49190;trec8;IDX_DR_SANSLEN;0;1000;2;1000;92277;92253;29479;0;0;0;92713
49213;trec8;IDX_DR_SANSLEN;0;1000;3;1000;131194;131169;36868;0;0;0;131640
49272;trec8;IDX_DR_SANSLEN;0;1000;3;1000;476127;476092;122417;0;0;0;476754
49331;trec8;IDX_DR_SANSLEN;0;1000;3;1000;137499;137453;48443;0;0;0;138117
49342;trec8;IDX_DR_SANSLEN;0;1000;2;1000;182543;182488;58342;0;0;0;183172
49418;trec8;IDX_DR_SANSLEN;0;1000;0;0;36;6;1;0;0;0;314
49550;trec8;IDX_DR_SANSLEN;0;1000;1;3;289;260;52;0;0;0;513
49645;trec8;IDX_DR_SANSLEN;0;1000;2;1000;54630;54608;16205;0;0;0;54928
49725;trec8;IDX_DR_SANSLEN;0;1000;4;1000;404353;404318;119777;0;0;0;404885
49825;trec8;IDX_DR_SANSLEN;0;1000;5;1000;327165;327123;90700;0;0;0;327787
49827;trec8;IDX_DR_SANSLEN;0;1000;6;1000;548829;548775;136103;0;0;0;549472
49835;trec8;IDX_DR_SANSLEN;0;1000;1;901;32238;32197;8712;0;0;0;32752
49931;trec8;IDX_DR_SANSLEN;0;1000;1;568;19536;19491;5771;0;0;0;20127
70;trec8;IDX_D;0;10;2;10;5223;4184;2260;1056309;0;0;1656473
211;trec8;IDX_D;0;10;3;10;10156;10132;5476;1056309;0;0;10667
257;trec8;IDX_D;0;10;0;0;49;2;1;1056309;0;0;448
259;trec8;IDX_D;0;10;3;10;3563;3516;1795;1056309;0;0;3981
450;trec8;IDX_D;0;10;2;10;3162;668;451;1056309;0;0;3512
527;trec8;IDX_D;0;10;2;10;757;723;508;1056309;0;0;1256
591;trec8;IDX_D;0;10;2;10;1677;1650;1249;1056309;0;0;2114
626;trec8;IDX_D;0;10;2;10;6380;6346;6038;1056309;0;0;6968
717;trec8;IDX_D;0;10;1;10;1335;1320;847;1056309;0;0;1751
736;trec8;IDX_D;0;10;4;10;12239;12219;6475;1056309;0;0;12684
775;trec8;IDX_D;0;10;8;10;58206;58154;22399;1056309;0;0;58851
892;trec8;IDX_D;0;10;4;10;40099;40045;20829;1056309;0;0;40663
966;trec8;IDX_D;0;10;2;10;1893;1858;1339;1056309;0;0;2379
1113;trec8;IDX_D;0;10;2;10;655;638;474;1056309;0;0;937
1131;trec8;IDX_D;0;10;3;10;23970;23952;12864;1056309;0;0;24287
1180;trec8;IDX_D;0;10;6;10;16386;16346;7774;1056309;0;0;16775
1209;trec8;IDX_D;0;10;6;10;8473;8431;4571;1056309;0;0;8811
1235;trec8;IDX_D;0;10;0;0;25;3;1;1056309;0;0;276
1243;trec8;IDX_D;0;10;2;10;1766;1750;1306;1056309;0;0;1996
1248;trec8;IDX_D;0;10;4;10;4078;4058;2583;1056309;0;0;4558
1253;trec8;IDX_D;0;10;1;10;471;459;400;1056309;0;0;779
1264;trec8;IDX_D;0;10;3;10;10762;10747;7482;1056309;0;0;11193
1286;trec8;IDX_D;0;10;5;10;14053;13991;5358;1056309;0;0;14677
1412;trec8;IDX_D;0;10;2;10;10878;10842;8604;1056309;0;0;11395
1468;trec8;IDX_D;0;10;3;10;37296;37264;21360;1056309;0;0;37742
1550;trec8;IDX_D;0;10;1;10;406;382;164;1056309;0;0;895
1551;trec8;IDX_D;0;10;1;10;7508;7499;6664;1056309;0;0;7815
1613;trec8;IDX_D;0;10;2;10;9592;9562;7155;1056309;0;0;10011
1661;trec8;IDX_D;0;10;2;10;7155;7129;5302;1056309;0;0;7640
1796;trec8;IDX_D;0;10;2;10;16669;16648;15211;1056309;0;0;17342
1847;trec8;IDX_D;0;10;5;10;11392;11338;6509;1056309;0;0;11842
1903;trec8;IDX_D;0;10;5;10;27873;27846;12967;1056309;0;0;28372
1969;trec8;IDX_D;0;10;1;10;637;580;462;1056309;0;0;1125
2118;trec8;IDX_D;0;10;2;10;16069;16010;11369;1056309;0;0;16439
2146;trec8;IDX_D;0;10;2;10;1657;1632;1264;1056309;0;0;2073
2217;trec8;IDX_D;0;10;3;10;9162;9144;6228;1056309;0;0;9675
2271;trec8;IDX_D;0;10;2;10;41244;41198;25653;1056309;0;0;41828
2321;trec8;IDX_D;0;10;4;10;20600;20569;11911;1056309;0;0;21056
2343;trec8;IDX_D;0;10;6;10;14631;14568;6640;1056309;0;0;15064
2348;trec8;IDX_D;0;10;3;10;6509;6485;3842;1056309;0;0;6879
2383;trec8;IDX_D;0;10;3;10;1317;1296;681;1056309;0;0;1528
2388;trec8;IDX_D;0;10;3;10;2960;2941;1892;1056309;0;0;3259
2449;trec8;IDX_D;0;10;3;10;60472;60454;30991;1056309;0;0;60959
2550;trec8;IDX_D;0;10;4;10;20241;20177;10312;1056309;0;0;20708
2568;trec8;IDX_D;0;10;5;10;26266;26228;13877;1056309;0;0;26946
2602;trec8;IDX_D;0;10;3;10;10166;10114;5687;1056309;0;0;10730
2669;trec8;IDX_D;0;10;3;10;9336;9306;5216;1056309;0;0;9738
2761;trec8;IDX_D;0;10;2;10;485;467;294;1056309;0;0;968
2825;trec8;IDX_D;0;10;2;10;14456;14443;10700;1056309;0;0;14915
2826;trec8;IDX_D;0;10;1;10;631;608;459;1056309;0;0;986
2828;trec8;IDX_D;0;10;3;10;21659;21628;12193;1056309;0;0;22175
3064;trec8;IDX_D;0;10;1;1;95;65;21;1056309;0;0;656
3068;trec8;IDX_D;0;10;0;0;51;11;1;1056309;0;0;359
3091;trec8;IDX_D;0;10;5;10;9172;9140;5962;1056309;0;0;9587
3161;trec8;IDX_D;0;10;0;0;53;4;1;1056309;0;0;544
3234;trec8;IDX_D;0;10;4;10;9044;9025;5144;1056309;0;0;9391
3281;trec8;IDX_D;0;10;3;10;28225;28198;17351;1056309;0;0;28906
3398;trec8;IDX_D;0;10;1;10;46235;46211;34192;1056309;0;0;46700
3421;trec8;IDX_D;0;10;5;10;30402;30363;15008;1056309;0;0;30917
3443;trec8;IDX_D;0;10;6;10;13049;12993;5422;1056309;0;0;13600
3628;trec8;IDX_D;0;10;3;10;6176;6141;3287;1056309;0;0;6660
3764;trec8;IDX_D;0;10;1;10;412;377;217;1056309;0;0;947
3828;trec8;IDX_D;0;10;1;10;903;878;640;1056309;0;0;1156
3845;trec8;IDX_D;0;10;2;10;18673;18657;12913;1056309;0;0;19132
3895;trec8;IDX_D;0;10;3;10;7371;7338;4143;1056309;0;0;7888
3942;trec8;IDX_D;0;10;3;10;9602;9575;6201;1056309;0;0;9984
3950;trec8;IDX_D;0;10;5;10;23140;23112;11877;1056309;0;0;23660
3972;trec8;IDX_D;0;10;2;10;5287;5237;2841;1056309;0;0;5815
4001;trec8;IDX_D;0;10;5;10;12563;12516;5418;1056309;0;0;12977
4151;trec8;IDX_D;0;10;2;10;624;594;474;1056309;0;0;968
4153;trec8;IDX_D;0;10;3;10;10495;10473;6888;1056309;0;0;10958
4172;trec8;IDX_D;0;10;2;10;9203;9161;6125;1056309;0;0;9708
4212;trec8;IDX_D;0;10;2;10;1937;1912;1190;1056309;0;0;2330
4234;trec8;IDX_D;0;10;3;10;13693;13676;8255;1056309;0;0;14071
4290;trec8;IDX_D;0;10;1;10;391;373;272;1056309;0;0;655
4379;trec8;IDX_D;0;10;4;10;80346;80317;40455;1056309;0;0;80814
4521;trec8;IDX_D;0;10;3;10;7933;7901;3699;1056309;0;0;8440
4526;trec8;IDX_D;0;10;1;10;5849;5819;5100;1056309;0;0;6279
