18985;cluewebB;bm25;IDX_DR;0;10;6;10;5947387;5883565;823036;0;0;0;6182357
19211;cluewebB;bm25;IDX_DR;0;10;4;10;2704897;2611267;430863;0;0;0;2869596
19215;cluewebB;bm25;IDX_DR;0;10;5;10;679589;577622;85654;0;0;0;681132
19296;cluewebB;bm25;IDX_DR;0;10;3;10;1548280;1541193;186923;0;0;0;1551236
19406;cluewebB;bm25;IDX_DR;0;10;1;10;127226;115801;11604;0;0;0;127829
19557;cluewebB;bm25;IDX_DR;0;10;3;10;165469;165413;24606;0;0;0;166252
19560;cluewebB;bm25;IDX_DR;0;10;3;10;31515;28829;4571;0;0;0;32020
19662;cluewebB;bm25;IDX_DR;0;10;5;10;4954665;4954603;794643;0;0;0;5151729
19663;cluewebB;bm25;IDX_DR;0;10;14;10;22137738;21972515;2107587;0;0;0;22139033
19703;cluewebB;bm25;IDX_DR;0;10;3;10;2655221;2655169;274324;0;0;0;2665131
19708;cluewebB;bm25;IDX_DR;0;10;3;10;452927;374736;55430;0;0;0;454898
19842;cluewebB;bm25;IDX_DR;0;10;8;10;4154282;4136666;534383;0;0;0;4294173
19871;cluewebB;bm25;IDX_DR;0;10;10;10;3643760;3598712;384749;0;0;0;3651988
20039;cluewebB;bm25;IDX_DR;0;10;6;10;1288266;1283278;180153;0;0;0;1295047
20108;cluewebB;bm25;IDX_DR;0;10;3;10;86236;70093;11122;0;0;0;88276
20137;cluewebB;bm25;IDX_DR;0;10;7;10;13049146;13048640;1761666;0;0;0;13611538
20184;cluewebB;bm25;IDX_DR;0;10;3;10;6843880;6761222;679663;0;0;0;6849554
20274;cluewebB;bm25;IDX_DR;0;10;3;10;1799960;1699798;143116;0;0;0;1803734
20416;cluewebB;bm25;IDX_DR;0;10;5;10;4577238;4522839;703579;0;0;0;4577521
20585;cluewebB;bm25;IDX_DR;0;10;2;10;399126;399075;7999;0;0;0;402955
20765;cluewebB;bm25;IDX_DR;0;10;3;10;1301573;1301516;156635;0;0;0;1306046
21294;cluewebB;bm25;IDX_DR;0;10;7;10;5966211;5912314;796769;0;0;0;6184581
21466;cluewebB;bm25;IDX_DR;0;10;5;10;859863;756292;111214;0;0;0;862223
21600;cluewebB;bm25;IDX_DR;0;10;6;10;3537529;3527252;486914;0;0;0;3537803
21652;cluewebB;bm25;IDX_DR;0;10;8;10;8460937;8460857;1027161;0;0;0;8475431
21774;cluewebB;bm25;IDX_DR;0;10;3;10;1174433;1079973;121924;0;0;0;1180093
21813;cluewebB;bm25;IDX_DR;0;10;6;10;255990;162752;23266;0;0;0;256666
21855;cluewebB;bm25;IDX_DR;0;10;3;10;2635515;2635270;321503;0;0;0;2635782
22267;cluewebB;bm25;IDX_DR;0;10;5;10;8309522;8309457;1232914;0;0;0;8708271
22352;cluewebB;bm25;IDX_DR;0;10;3;10;1318251;1228448;113793;0;0;0;1323114
22360;cluewebB;bm25;IDX_DR;0;10;4;10;2596284;2509799;405847;0;0;0;2596547
22426;cluewebB;bm25;IDX_DR;0;10;5;10;564005;563938;40476;0;0;0;564717
22470;cluewebB;bm25;IDX_DR;0;10;3;10;236228;234758;34120;0;0;0;236894
22502;cluewebB;bm25;IDX_DR;0;10;4;10;719394;718381;107702;0;0;0;721999
22536;cluewebB;bm25;IDX_DR;0;10;3;10;287582;271042;37714;0;0;0;288352
22547;cluewebB;bm25;IDX_DR;0;10;5;10;763069;761506;115745;0;0;0;765538
22768;cluewebB;bm25;IDX_DR;0;10;4;10;483619;458729;72452;0;0;0;485392
22793;cluewebB;bm25;IDX_DR;0;10;4;10;1231154;1221008;188674;0;0;0;1233871
22961;cluewebB;bm25;IDX_DR;0;10;3;10;1484817;1465372;151275;0;0;0;1487712
23026;cluewebB;bm25;IDX_DR;0;10;3;10;4907307;4878260;576547;0;0;0;4907584
23167;cluewebB;bm25;IDX_DR;0;10;4;10;885500;885434;65862;0;0;0;887048
23178;cluewebB;bm25;IDX_DR;0;10;8;10;2072173;2064372;270251;0;0;0;2139171
23410;cluewebB;bm25;IDX_DR;0;10;3;10;224126;194009;28805;0;0;0;226509
23452;cluewebB;bm25;IDX_DR;0;10;5;10;2841193;2837292;436974;0;0;0;2971972
23471;cluewebB;bm25;IDX_DR;0;10;4;10;1616329;1523980;236906;0;0;0;1619163
23478;cluewebB;bm25;IDX_DR;0;10;5;10;5223799;5165613;818171;0;0;0;5471962
23521;cluewebB;bm25;IDX_DR;0;10;4;10;1060136;943785;127500;0;0;0;1063666
23549;cluewebB;bm25;IDX_DR;0;10;2;10;1400436;1363595;270857;0;0;0;1400708
23643;cluewebB;bm25;IDX_DR;0;10;4;10;1095551;1095485;141288;0;0;0;1098305
23728;cluewebB;bm25;IDX_DR;0;10;4;10;5433780;5396070;880234;0;0;0;5434053
23811;cluewebB;bm25;IDX_DR;0;10;3;10;3845850;3845791;375918;0;0;0;3846112
24280;cluewebB;bm25;IDX_DR;0;10;9;10;1417573;1417498;100200;0;0;0;1418555
24372;cluewebB;bm25;IDX_DR;0;10;2;10;24532;22222;5209;0;0;0;24916
24525;cluewebB;bm25;IDX_DR;0;10;3;10;18880;18829;2965;0;0;0;19318
24549;cluewebB;bm25;IDX_DR;0;10;3;10;1829061;1829019;204833;0;0;0;1833159
24608;cluewebB;bm25;IDX_DR;0;10;4;10;4987884;4938834;729856;0;0;0;4990710
24613;cluewebB;bm25;IDX_DR;0;10;7;10;3735183;3611215;460523;0;0;0;3847212
24656;cluewebB;bm25;IDX_DR;0;10;3;10;7367358;7309790;843241;0;0;0;7367661
24664;cluewebB;bm25;IDX_DR;0;10;5;10;3982397;3982327;392807;0;0;0;4100174
24791;cluewebB;bm25;IDX_DR;0;10;5;10;2402622;2306265;360134;0;0;0;2515481
24796;cluewebB;bm25;IDX_DR;0;10;4;10;5696854;5592177;923028;0;0;0;6136756
24855;cluewebB;bm25;IDX_DR;0;10;3;10;293401;215156;2115;0;0;0;293779
24988;cluewebB;bm25;IDX_DR;0;10;2;10;20899;20849;5063;0;0;0;21247
25013;cluewebB;bm25;IDX_DR;0;10;3;10;1683608;1683558;181579;0;0;0;1689351
25042;cluewebB;bm25;IDX_DR;0;10;3;10;1644010;1609687;178028;0;0;0;1649607
25137;cluewebB;bm25;IDX_DR;0;10;6;10;137094;53559;7605;0;0;0;137554
25177;cluewebB;bm25;IDX_DR;0;10;4;10;2050204;2050149;198557;0;0;0;2053345
25538;cluewebB;bm25;IDX_DR;0;10;4;10;1546119;1507606;212885;0;0;0;1549270
25677;cluewebB;bm25;IDX_DR;0;10;5;10;3560573;3492134;532270;0;0;0;3731428
26003;cluewebB;bm25;IDX_DR;0;10;10;10;1025117;888260;95422;0;0;0;1025938
26274;cluewebB;bm25;IDX_DR;0;10;4;10;2301742;2301320;369968;0;0;0;2302007
26310;cluewebB;bm25;IDX_DR;0;10;5;10;7723482;7723416;1140752;0;0;0;8116675
26383;cluewebB;bm25;IDX_DR;0;10;4;10;1387180;1292590;158819;0;0;0;1391346
26612;cluewebB;bm25;IDX_DR;0;10;4;10;5148932;5098189;824204;0;0;0;5149192
26693;cluewebB;bm25;IDX_DR;0;10;2;10;1224485;1224432;107999;0;0;0;1226224
26770;cluewebB;bm25;IDX_DR;0;10;2;10;34408;28337;5875;0;0;0;34867
27045;cluewebB;bm25;IDX_DR;0;10;3;10;1168614;1168566;125390;0;0;0;1171762
27240;cluewebB;bm25;IDX_DR;0;10;3;10;2474221;2422226;258175;0;0;0;2477368
27258;cluewebB;bm25;IDX_DR;0;10;4;10;474745;404156;43869;0;0;0;475636
27303;cluewebB;bm25;IDX_DR;0;10;5;10;12147;9336;1410;0;0;0;12368
27431;cluewebB;bm25;IDX_DR;0;10;4;10;3677763;3677715;596201;0;0;0;3678019
27531;cluewebB;bm25;IDX_DR;0;10;3;10;1905987;1905934;157179;0;0;0;1912003
27588;cluewebB;bm25;IDX_DR;0;10;3;10;405573;367013;39973;0;0;0;407173
27608;cluewebB;bm25;IDX_DR;0;10;5;10;5981842;5974037;915037;0;0;0;5982115
27621;cluewebB;bm25;IDX_DR;0;10;2;10;559964;559912;2273;0;0;0;564585
27743;cluewebB;bm25;IDX_DR;0;10;3;10;182039;181985;24336;0;0;0;183174
27828;cluewebB;bm25;IDX_DR;0;10;4;10;169611;166261;28004;0;0;0;170293
27861;cluewebB;bm25;IDX_DR;0;10;3;10;196961;195843;26969;0;0;0;198291
27891;cluewebB;bm25;IDX_DR;0;10;5;10;931738;927232;136618;0;0;0;936490
27933;cluewebB;bm25;IDX_DR;0;10;7;10;3838034;3813353;500120;0;0;0;3838314
27995;cluewebB;bm25;IDX_DR;0;10;5;10;838504;838445;92721;0;0;0;844182
28098;cluewebB;bm25;IDX_DR;0;10;2;10;1122456;1115362;206421;0;0;0;1125564
28132;cluewebB;bm25;IDX_DR;0;10;7;10;3882840;3839365;539127;0;0;0;4052603
28249;cluewebB;bm25;IDX_DR;0;10;4;10;2403812;2282532;370587;0;0;0;2587010
28325;cluewebB;bm25;IDX_DR;0;10;6;10;4513351;4386501;607929;0;0;0;4513657
28380;cluewebB;bm25;IDX_DR;0;10;3;10;1357964;1357901;116474;0;0;0;1363134
28399;cluewebB;bm25;IDX_DR;0;10;3;10;1036266;986090;101420;0;0;0;1039454
28550;cluewebB;bm25;IDX_DR;0;10;2;10;85356;65410;2508;0;0;0;85689
28633;cluewebB;bm25;IDX_DR;0;10;4;10;4444100;4444045;734577;0;0;0;4444373
28675;cluewebB;bm25;IDX_DR;0;10;3;10;2027119;2027076;143776;0;0;0;2032737
28742;cluewebB;bm25;IDX_DR;0;10;3;10;1990586;1949860;198964;0;0;0;1993868
28929;cluewebB;bm25;IDX_DR;0;10;8;10;5530104;5388426;676322;0;0;0;5726010
28982;cluewebB;bm25;IDX_DR;0;10;4;10;1421001;1345370;196158;0;0;0;1425199
29005;cluewebB;bm25;IDX_DR;0;10;7;10;1065280;993361;125692;0;0;0;1068342
29051;cluewebB;bm25;IDX_DR;0;10;3;10;475736;461296;57128;0;0;0;480023
29241;cluewebB;bm25;IDX_DR;0;10;2;10;281358;272911;51953;0;0;0;282068
29414;cluewebB;bm25;IDX_DR;0;10;5;10;956622;955033;139191;0;0;0;961363
29589;cluewebB;bm25;IDX_DR;0;10;2;10;25877;7587;1913;0;0;0;26132
29767;cluewebB;bm25;IDX_DR;0;10;6;10;733568;733506;99462;0;0;0;735754
29868;cluewebB;bm25;IDX_DR;0;10;5;10;967791;959910;141098;0;0;0;972622
29880;cluewebB;bm25;IDX_DR;0;10;6;10;4754640;4730101;671866;0;0;0;4952958
