qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
13604;gov2;IDX_D;3;10;4;10;258072;257636;93328;50410357;0;0;258624
13644;gov2;IDX_D;3;10;1;10;121061;120322;77090;50410357;0;0;121625
13649;gov2;IDX_D;3;10;1;1;1496;137;26;50410357;0;0;1589
13750;gov2;IDX_D;3;10;1;10;11363;11314;9146;50410357;0;0;11604
13911;gov2;IDX_D;3;10;2;10;18439;18164;13683;50410357;0;0;18733
14015;gov2;IDX_D;3;10;4;0;2774;2227;887;50410357;0;0;2854
14025;gov2;IDX_D;3;10;1;10;574;421;326;50410357;0;0;651
14035;gov2;IDX_D;3;10;1;10;348;291;228;50410357;0;0;419
14094;gov2;IDX_D;3;10;3;0;1275;729;234;50410357;0;0;1349
14098;gov2;IDX_D;3;10;2;10;11572;11429;6386;50410357;0;0;11670
14124;gov2;IDX_D;3;10;1;10;444;389;330;50410357;0;0;518
14152;gov2;IDX_D;3;10;1;10;1398;1131;986;50410357;0;0;1480
14154;gov2;IDX_D;3;10;1;10;9803;9759;8667;50410357;0;0;10039
14156;gov2;IDX_D;3;10;4;10;7446;6410;2534;50410357;0;0;7536
14179;gov2;IDX_D;3;10;1;10;774;721;655;50410357;0;0;854
14278;gov2;IDX_D;3;10;1;4;304;152;83;50410357;0;0;376
14377;gov2;IDX_D;3;10;1;10;346;292;236;50410357;0;0;416
14387;gov2;IDX_D;3;10;2;0;356;93;14;50410357;0;0;425
14405;gov2;IDX_D;3;10;2;10;85437;85298;52571;50410357;0;0;85975
14443;gov2;IDX_D;3;10;3;0;1013;150;6;50410357;0;0;1107
14466;gov2;IDX_D;3;10;1;10;459;316;193;50410357;0;0;532
14627;gov2;IDX_D;3;10;2;7;8758;8614;4493;50410357;0;0;8847
14641;gov2;IDX_D;3;10;1;10;544;403;294;50410357;0;0;619
14743;gov2;IDX_D;3;10;4;0;1822;807;263;50410357;0;0;1900
14749;gov2;IDX_D;3;10;1;10;558;510;466;50410357;0;0;633
14863;gov2;IDX_D;3;10;2;10;135159;135010;78462;50410357;0;0;135702
14893;gov2;IDX_D;3;10;1;10;2904;2136;1555;50410357;0;0;3014
14927;gov2;IDX_D;3;10;2;10;49232;48888;25552;50410357;0;0;80305
14938;gov2;IDX_D;3;10;1;10;26842;3116;2625;50410357;0;0;46511
14963;gov2;IDX_D;3;10;2;0;30448;162;38;50410357;0;0;49344
15117;gov2;IDX_D;3;10;1;1;24404;134;26;50410357;0;0;47820
15352;gov2;IDX_D;3;10;2;10;283741;283602;157192;50410357;0;0;284365
15359;gov2;IDX_D;3;10;2;3;2901;582;172;50410357;0;0;2992
15377;gov2;IDX_D;3;10;1;10;1136;1085;848;50410357;0;0;1221
15415;gov2;IDX_D;3;10;2;10;2486;2207;1203;50410357;0;0;2559
15441;gov2;IDX_D;3;10;2;0;3694;3109;1565;50410357;0;0;3776
15458;gov2;IDX_D;3;10;1;10;2403;2262;2023;50410357;0;0;2512
15506;gov2;IDX_D;3;10;1;10;344;286;221;50410357;0;0;420
15570;gov2;IDX_D;3;10;2;0;453;303;158;50410357;0;0;523
15635;gov2;IDX_D;3;10;1;10;158429;158165;106779;50410357;0;0;159016
15706;gov2;IDX_D;3;10;1;10;2383;1037;203;50410357;0;0;2474
15778;gov2;IDX_D;3;10;1;10;1131;1079;848;50410357;0;0;1216
15857;gov2;IDX_D;3;10;1;10;459;399;303;50410357;0;0;531
15889;gov2;IDX_D;3;10;1;10;13560;13516;10939;50410357;0;0;13854
15973;gov2;IDX_D;3;10;2;0;460;204;85;50410357;0;0;535
15996;gov2;IDX_D;3;10;3;10;90842;90673;32707;50410357;0;0;91502
16061;gov2;IDX_D;3;10;2;0;4109;1882;846;50410357;0;0;4201
16175;gov2;IDX_D;3;10;2;10;42361;41717;21348;50410357;0;0;42633
16189;gov2;IDX_D;3;10;1;2;636;161;45;50410357;0;0;725
16343;gov2;IDX_D;3;10;3;10;126196;125868;44802;50410357;0;0;127168
16401;gov2;IDX_D;3;10;1;9;4198;1869;189;50410357;0;0;4295
16445;gov2;IDX_D;3;10;2;3;3255;2680;1288;50410357;0;0;3332
16511;gov2;IDX_D;3;10;2;5;3160;2993;1573;50410357;0;0;3243
16519;gov2;IDX_D;3;10;1;10;580;434;323;50410357;0;0;653
16611;gov2;IDX_D;3;10;1;10;912;774;605;50410357;0;0;987
16617;gov2;IDX_D;3;10;4;1;910;407;125;50410357;0;0;983
16702;gov2;IDX_D;3;10;1;10;681;546;437;50410357;0;0;757
16774;gov2;IDX_D;3;10;1;3;144;87;59;50410357;0;0;214
16835;gov2;IDX_D;3;10;2;8;2281;1714;879;50410357;0;0;2355
16848;gov2;IDX_D;3;10;3;0;452;140;22;50410357;0;0;525
16885;gov2;IDX_D;3;10;4;10;4725;4242;1710;50410357;0;0;4811
16890;gov2;IDX_D;3;10;1;10;533;390;293;50410357;0;0;607
16944;gov2;IDX_D;3;10;3;0;1225;923;317;50410357;0;0;1298
16966;gov2;IDX_D;3;10;2;10;1260;1002;521;50410357;0;0;1334
16983;gov2;IDX_D;3;10;2;10;7558;7410;4343;50410357;0;0;7651
17058;gov2;IDX_D;3;10;2;3;1395;584;239;50410357;0;0;1469
17071;gov2;IDX_D;3;10;2;1;505;131;26;50410357;0;0;577
17105;gov2;IDX_D;3;10;2;10;3356;3017;1793;50410357;0;0;3434
17199;gov2;IDX_D;3;10;1;2;390;128;51;50410357;0;0;464
17291;gov2;IDX_D;3;10;1;1;106;50;26;50410357;0;0;174
17292;gov2;IDX_D;3;10;1;10;710;583;477;50410357;0;0;783
17316;gov2;IDX_D;3;10;2;10;700884;700751;357494;50410357;0;0;703674
17334;gov2;IDX_D;3;10;1;10;19451;13780;210;50410357;0;0;19595
17355;gov2;IDX_D;3;10;1;10;1038;752;515;50410357;0;0;1121
17519;gov2;IDX_D;3;10;2;10;53130;52985;32346;50410357;0;0;53640
17561;gov2;IDX_D;3;10;3;0;971;214;28;50410357;0;0;1061
17573;gov2;IDX_D;3;10;2;0;688;200;37;50410357;0;0;762
17591;gov2;IDX_D;3;10;1;1;560;135;26;50410357;0;0;633
17597;gov2;IDX_D;3;10;1;10;510;456;354;50410357;0;0;583
17624;gov2;IDX_D;3;10;2;10;130793;130657;79045;50410357;0;0;131335
17725;gov2;IDX_D;3;10;1;10;1726;721;535;50410357;0;0;1820
17732;gov2;IDX_D;3;10;1;10;314;255;182;50410357;0;0;387
17736;gov2;IDX_D;3;10;2;0;1894;1370;618;50410357;0;0;1970
17755;gov2;IDX_D;3;10;1;10;602;545;454;50410357;0;0;678
17779;gov2;IDX_D;3;10;2;10;309776;309637;169454;50410357;0;0;310445
17791;gov2;IDX_D;3;10;1;10;11206;10639;6921;50410357;0;0;11434
17795;gov2;IDX_D;3;10;4;0;896;588;186;50410357;0;0;976
17940;gov2;IDX_D;3;10;1;10;517;370;252;50410357;0;0;591
18014;gov2;IDX_D;3;10;1;10;730;584;488;50410357;0;0;806
18033;gov2;IDX_D;3;10;1;10;66112;66063;51807;50410357;0;0;67859
18061;gov2;IDX_D;3;10;2;0;1589;287;88;50410357;0;0;1680
18163;gov2;IDX_D;3;10;2;5;3729;3469;1880;50410357;0;0;3806
18238;gov2;IDX_D;3;10;1;10;979;928;825;50410357;0;0;1057
18258;gov2;IDX_D;3;10;2;10;9113;8974;5132;50410357;0;0;9203
